沙巴克首次攻城时间_年		2015
沙巴克首次攻城时间_月		08
沙巴克首次攻城时间_日		08
沙巴克首次攻城时间_时		20
沙巴克首次攻城时间_提示时	19

游戏名称			小强传奇
官方网站			无
元宝名称			1
绑定金币名称			绑定金币
客服QQ				287431404
游戏QQ群			106553569

租用仓库费用			1000000
租用仓库时间			365
改变发型物品			特制梳子
求婚所需要的物品		求婚戒指

安全区传送费用			1000
险恶区传送费用			2000

拜师等级			10
出师等级			35
师傅等级			45
出师师傅获得声望		100

特效_暴击                       10
特效_吸血红光                   11
特效_接受任务			12
特效_步骤完成			13
特效_任务完成			14
特效_宝宝升级                   18
特效_双倍经验			19
特效_烟花_一心一意		20
特效_烟花_心心相印		21
特效_烟花_飞火流星		22
特效_烟花_浪漫星雨		23
特效_烟花_绮梦幻想		24
特效_烟花_长空火舞		25
特效_烟花_如雾似梦		26
特效_人物升级			27
特效_护体神盾                   28

;参数三
物品_改变属性_绑定状态_取消		0
物品_改变属性_绑定状态_绑定		1

;参数一
物品_改变属性_持久			0
物品_改变属性_时间			1
物品_改变属性_绑定状态			2
物品_改变属性_五行属性			3
物品_改变属性_凹槽数量			4
物品_改变属性_可强化等级		5
物品_改变属性_强化等级属性		6
物品_改变属性_附加属性			7
物品_改变属性_刷新物品			8

;参数二
物品_改变属性_绑定状态_不可交易		0
物品_改变属性_绑定状态_不可存仓		1
物品_改变属性_绑定状态_不可修理		2
物品_改变属性_绑定状态_不可丢弃		3
物品_改变属性_绑定状态_永不掉落		4
物品_改变属性_绑定状态_不可强化		5
物品_改变属性_绑定状态_不可出售		6
物品_改变属性_绑定状态_丢弃消失		7
物品_改变属性_绑定状态_未开光		8

ARITHMOMETER循环常量_补给危机		1

任务_补给危机_接受变量			[134]
任务_补给危机_接受未完成变量值		0
任务_补给危机_接受已完成变量值		1
任务_补给危机_镖车名称			补给镖车
任务_补给危机_客户端名称_35		补给危机押镖35
任务_补给危机_客户端名称_40		补给危机押镖40
任务_补给危机_客户端名称_45		补给危机押镖45
任务_补给危机_客户端名称_50		补给危机押镖50
任务_补给危机_客户端名称_55		补给危机押镖55
任务_补给危机_客户端名称_60		补给危机押镖60
任务_补给危机_押镖时间			20
任务_每日可押镖车次数			3

押镖_补给危机_镖车_35		补给镖车1
押镖_补给危机_镖车_40		补给镖车2
押镖_补给危机_镖车_45		补给镖车3
押镖_补给危机_镖车_50		补给镖车4
押镖_补给危机_镖车_55		补给镖车5
押镖_补给危机_镖车_60		补给镖车6

押镖_补给危机_镖车_35_补	补给镖车11
押镖_补给危机_镖车_40_补	补给镖车21
押镖_补给危机_镖车_45_补	补给镖车31
押镖_补给危机_镖车_50_补	补给镖车41
押镖_补给危机_镖车_55_补	补给镖车51
押镖_补给危机_镖车_60_补	补给镖车61

押镖_补给危机_押金_35		500000
押镖_补给危机_押金_40		800000
