;调用文件		地图    X   Y	姓名		范围	代码	刷新时间
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
;特殊地图

衣服NPC/红名村老人      3       848 673 红名村老人    0		1	1
特殊NPC\坐标传送阵	D401	22 175	坐标传送阵  0	64.0	1
特殊NPC\坐标传送阵	1	567 548	坐标传送阵  0	64.0	1
特殊NPC\坐标传送阵	6	464 370	坐标传送阵  0	64.0	1
特殊NPC\坐标传送阵	D024	24 12	坐标传送阵  0	64.0	1
特殊NPC\坐标传送阵	D5071	20 23	坐标传送阵  0	64.0	1
特殊NPC\坐标传送阵	D606	190 118	坐标传送阵  0	64.0	1
特殊NPC\坐标传送阵	D2011	83 78	坐标传送阵  0	64.0	1
特殊NPC\坐标传送阵	D2067	150 163	坐标传送阵  0	64.0	1
特殊NPC\坐标传送阵	D2078	251 251	坐标传送阵  0	64.0	1
特殊NPC\坐标传送阵	D2052	85 66	坐标传送阵  0	64.0	1
特殊NPC\坐标传送阵	D1002	284 136	坐标传送阵  0	64.0	1
特殊NPC\坐标传送阵	D717	23 78	坐标传送阵  0	64.0	1

;功能NPC

比奇省\天下第一练级狂	0       323     256     $1\天下第一练级狂    0  156     0
魔法结阵 		3   	331 	331     许愿树   	0       140     0
盟重土城\天下第一战圣	3	315	334	$1\天下第一战圣 0	156	0
冲级大使		3	321	322	冲级奖励	0	95 	1
行会系统		3	340	321	行会祭坛	0	77	1
苍月\天下第一法神	5	149	335	$3\天下第一法神	0	156	0
复活币			3	321	331	每日领取复活币	0	92	1
白日门\天下第一道尊	11	168	316	$4\天下第一道尊	0	156 	0
离线挂机		0	331	264	离线点我	0	1	0
离线挂机		3	321	335	离线点我	0	1	0

进入下层1  ctg01 32 9  天关1号 0 175  0

进入下层2  ctg02 33 9  天关2号 0 175  0

进入下层3  ctg03 33 9  天关3号 0 175  0

进入下层4  ctg04 27 22  天关4号 0 175  0

进入下层5  ctg05 27 22  天关5号 0 175  0

领取奖励  ctg06 24 27  天关6号 0 175  0


单人副本/副本任务		3 	321	326	单人副本	   0	       31	    1
单人副本/收费副本1层		SFFB01	14	9	下层传送	           0	       15	    1
单人副本/收费副本2层		SFFB02	14	9	下层传送	           0	       15	    1
单人副本/收费副本3层		SFFB03	14	9	下层传送	           0	       15	    1
单人副本/收费副本4层		SFFB04	14	9	下层传送	           0	       15	    1
单人副本/收费副本5层		SFFB05	14	9	下层传送	           0	       15	    1
单人副本/收费副本6层		SFFB06	14	9	下层传送	           0	       15	    1
单人副本/收费副本7层		SFFB07	14	9	下层传送	           0	       15	    1


死亡炼狱\死亡炼狱  	D606  	       193	123	死亡炼狱使者		0	94	1
死亡炼狱\死亡炼狱  	LY1  	       32	28	死亡炼狱使者		0	94	1
死亡炼狱\死亡炼狱  	LY2  	       32	28	死亡炼狱使者		0	94	1
死亡炼狱\死亡炼狱  	LY3  	       32	28	死亡炼狱使者		0	94	1
死亡炼狱\死亡炼狱  	LY4  	       32	28	死亡炼狱使者		0	94	1
死亡炼狱\死亡炼狱  	LY5  	       32	28	死亡炼狱使者		0	94	1




;银杏村
新人助理    		0	321 653	边界村告知	   0	49      0
比奇省\比奇城_屠夫	0	650 592	庖丁\神级屠夫	   0	11	0
比奇省\比奇城_杂货铺	0	643 611	哆啦A梦\神级杂货   0	3	0
比奇省\比奇城_药店	0	650 619	华佗\神级大夫	   0	2	0
比奇省\比奇城_铁匠铺	0	649 602	欧治子\神级铁匠	   0	0	0
比奇省\比奇城_服装店	0	643 601	恒源祥\神级服装	   0	7	0
比奇省\比奇城_老兵	0	290 617	银杏村\回程点  	   0	64.1	1
比奇省\基本攻略		0	283 616	新人攻略	   0	167	1
;边界村
