;状态(0为杀人，1为被攻击，2为死亡，3为刚刷出来) 刚刷出来发的文字为广播文字全服务器都可以看到。 
;机率(数字越大，说话机率越小)
;颜色(0为红色，1为绿色，2为蓝色，3为白色) 白色文字，显示在怪物头顶上所有旁边的人都可以看到，其它颜色则显示在人物聊到框中只有对应的人物可以看到


;状态	机率	颜色	怪物名称	文字内容
1           30           3           稻草人                                有种你去欺负别人，草。
1           30           3           鸡                                     你做过鸡吗？知道鸡的痛苦吗！
1           30           3            半兽人精英                                 半兽人也是人！
1           30           3             卫士                      做人要做陈冠希！做爱要带照相机！
1           30           3            森林雪人精英                   s我是精英我怕谁！  
1           30           3             骷髅精英             挡我者死！ 
1           30           3               骷髅          挡我者死！ 
1           30           3            掷斧骷髅精英            人在江湖漂，呢有不挨刀！ 
1           30           3             骷髅战士精英        人在江湖漂，呢有不挨刀！ 
1           30           3             暗之骷髅精灵       人在江湖漂，呢有不挨刀！
1           30           3              多钩猫精英      只要钉耙舞的好什么墙角挖不了！
1           30           3           稻草人精英         欺负我算什么 本事有种找GM去！
1           30           3           沃玛战士精英         我爱洗澡皮肤好好！
1           30           3            沃玛勇士精英        我爱洗澡皮肤好好！
1           30           3             火焰沃玛精英      我爱洗澡皮肤好好！
1           30           3             沃玛卫士精英      我爱洗澡皮肤好好！
1           30           3             沃玛教主幽蓝      我爱洗澡皮肤好好！
1           30           3             暗黑战士精英    老虎不发威你当我是howkt！
1           30           3              铁链尸王       人和猪的区别就是：猪一直是猪，而人有时却不是人！
1           30           3               红蛇精英      除了法海 俺老娘怕过谁！
1           30           3               练功师      别的本事没有就是皮厚！
1           30           3               虎蛇精英      除了法海 俺老娘怕过谁！
1           30           3                羊王     种草不让人去躺，不如改种仙人掌！
1           30           3               猎鹰精英      永远有多远？你小子就给我滚多远！
1           30           3               盔甲虫精英      自从我变成了狗屎，就再也没有人踩在我头上了！
1           30           3                威思而虫精英     踏遍青楼人未老，请用汇仁肾宝！
1           30           3               巨型多角虫      脱了衣服我是禽兽，穿上衣服我是衣冠禽兽！
1           30           3                狼王     你快回来，我一人忽悠不来！
1           30           3                蜈蚣精英     不要和地球人一般见识~~~ 
1           30           3               触龙神精英      出来混，老婆迟早是要换的！
1           30           3                黑色恶蛆精英    老子不打你，你不知道我文武双全！
1           30           3                钳虫精英    理想很丰满，现实却很骨感！
1           30           3               邪恶钳虫精英     我又不是人民币，怎么能让人人都喜欢我！
1           30           3               跳跳蜂精英     我们的目标:向钱看,向厚赚！
1           30           3               巨型蠕虫精英     你给我滚，马不停蹄的滚…… 
1           30           3               角蝇精英     最是夜深人静时，思念才变得如此放肆！
1           30           3               蝙蝠精英    请不要把我对你的容忍 当场你不要脸的资本！
1           30           3                楔蛾精英    诸葛亮出山前也没带过兵啊，你们凭啥要我有工作经验！
1           30           3              红野猪精英    老板，先来两斤真爱，拿回去喂狗！
1           30           3              黑野猪精英    要输就输给追求，要嫁就嫁给幸福！
1           30           3              白野猪精英    猪八戒照镜子你们懂的！
1           30           3              蝎蛇精英    原谅别人，就是给自己心中留下空间，以便回旋！
1           30           3            邪恶毒蛇王    像穷人一样讲价，像绅士一样付账！
1           30           3            邪恶毒蛇精英    在人之上，要把人当人；在人之下，要把自己当人！
1           30           3            大老鼠精英     人生没有彩排，每天都在现场直播！
1           30           3           祖玛弓手精英    男人胆大去经商，女人胆大不化妆！
1           30           3           祖玛雕像精英    人经不住千言，树经不住千斧！
1           30           3           祖玛卫士精英    爱像圆周率，无限不循环！
1           30           3            祖玛教皇    林子大了，什么鸟都有！
1           30           3           祖玛教主    男人忽悠女人，叫调戏；女人忽悠男人，叫勾引；男女相互忽悠，叫爱情！
1           30           3          月魔蜘蛛精英     80后的重要任务是制造08后！
1           30           3          暴牙蜘蛛精英    我爸是李刚！
1           30           3           钢牙蜘蛛精英    关于明天的事，我们后天就知道了！
1           30           3           天狼蜘蛛精英    解释就是掩饰，掩饰就是讲故事~~
1           30           3           天狼蜘蛛       如果觉得好玩请支持强化正版！QQ群！公益开区！
1           30           3          黑锷蜘蛛精英    你让我滚，我滚了，你让我回来，对不起，我滚远了！
1           30           3          花吻蜘蛛精英    我和脂肪做斗争，差点没牺牲！
1           30           3          血巨人精英    再丑也要谈恋爱，谈到世界充满爱！
1           30           3          邪恶巨人精英    不在江湖很久，江湖总有我的传说！
1           30           3          双头血魔精英    挣着卖白菜的钱，操着卖白粉的心！
1           30           3          双头金刚精英    除了诱惑，我什么都能抵挡！
1           30           3              除了诱惑，我什么都能抵挡！
1           30           3           赤月恶魔统领    老婆说要看闪电，我拿菜刀砍电线！
1           30           3           带刀护卫    我虽然相信海誓山盟，但是未必相信你啊！
1           30           3          石墓尸王    特别的人从来不说自己特别，比如说我！
1           30           3         虹魔蝎卫精英     我要找个像金刚一样的男人，为我站在美国最高的大楼去给我打飞机！
1           30           3          虹魔猪卫精英    对不起,你拨打的用户已结婚！
1           30           3          虹魔教主    人不犯我~~我不犯人~~人若犯我~~我就生气！
1           30           3          半兽统领    长的丑不是你的错，出来吓人就是你的错！
1           30           3          雪人王    谁耽误我一阵子，我让他后悔一辈子！
1           30           3         多钩猫王    出租车司机，司机中的战斗机，噢耶！
1           30           3          钉耙猫王    当你披上了婚纱 我也披上了袈裟！
1           30           3         恶灵僵尸精英    我们的宗旨是：为人民币服务！
1           30           3          恶灵尸王精英    别和我谈理想``我戒了！
1           30           3         恶灵尸王    如果你不在呢，我还在！
1           30           3         骷髅锤兵精英    暮然回首，结果你还没走！
1           30           3        骷髅枪兵兵精英    男人最大的精力是用来奋斗，不是用来射！
1           30           3        骷髅长枪兵    如果觉得好玩请支持强化正版！
1           30           3        骷髅刀斧手精英    流氓不可怕，就怕流氓有文化！
1           30           3        骷髅弓手精英    走牛B的路，让傻B去说吧！
1           30           3        黄泉大教主    在牛B肖邦，也弹不出老子的悲伤！
1           30           3       黄泉教主    犯贱是普遍真理，你我只是其中之一 ！
1           30           3       暗之黄泉教主     钱不是问题，问题是没钱！
1           30           3       黄泉教主     走别人的路,让别人走投无路！
1           30           3       牛头魔精英     钱可以解决的问题都不是问题！
1           30           3        牛魔斗士精英     钞票不是万能的，有时还需要信用卡！
1           30           3       牛魔战士精英      人怕出名猪怕壮，男怕没钱女怕胖！
1           30           3        牛魔侍卫精英     宁愿坐在宝马车里哭，也不愿意坐在自行车上笑！
1           30           3       牛魔将军精英      陪我数星星吧，你智商低就属月亮吧！
1           30           3           牛魔法师精英     你不是仙人掌，何必那么坚强！
1           30           3         牛魔祭司精英      天上没有白掉的馅饼，倒有白掉的砖头！
1           30           3         牛魔王精英      眼泪的存在，是为了证明悲伤不是一场幻觉！
1           30           3         暗之牛魔王     只要心还愿攀登，就没有到不了的高度！
1           30           3         血僵尸精英     眼泪的存在，是为了证明悲伤不是一场幻觉！






















